comment,handles,hashtags,word_count,emoji_count,filtered_words,expanded_comment,lemmatized_words,detected_phrases,sentiment_emotion,is_question,has_buying_intent,question_confidence,buying_intent_confidence
"Hey @user1, check out this awesome😃 #newproduct! 😃",['user1'],['newproduct'],7,2,"['Hey', 'user1', 'check', 'newproduct']","Hey @user1, check out this awesome😃 #newproduct! 😃","['Hey', 'user1', 'check', 'newproduct']",['Hey user1 check newproduct'],"{'sentiment': 'Positive', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 0.608, 'pos': 0.392, 'compound': 0.7325}}",False,False,0.0,0.0
I don't like this product. #badquality,[],['badquality'],6,0,"['like', 'product', 'badquality']",I do not like this product. #badquality,"['like', 'product', 'badquality']",['product badquality'],"{'sentiment': 'Negative', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.297, 'neu': 0.703, 'pos': 0.0, 'compound': -0.2755}}",False,False,0.0,0.0
"Amazing work! @user2 and @user3, you guys rock! 💪","['user2', 'user3']",[],8,1,"['Amazing', 'work', 'user2', 'user3', 'guys', 'rock']","Amazing work! @user2 and @user3, you guys rock! 💪","['Amazing', 'work', 'user2', 'user3', 'guy', 'rock']","['Amazing work user2 user3 guys', 'rock']","{'sentiment': 'Positive', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.658}}",False,False,0.0,0.0
This is another comment with some more words and emojis 🎉🥳.,[],[],10,2,"['another', 'comment', 'words', 'emojis']",This is another comment with some more words and emojis 🎉🥳.,"['another', 'comment', 'word', 'emojis']",['another comment words'],"{'sentiment': 'Neutral', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}}",False,False,0.5,0.0
Just received my order! 📦 It looks fantastic! #happycustomer,[],['happycustomer'],8,1,"['received', 'order', 'looks', 'fantastic', 'happycustomer']",Just received my order! 📦 It looks fantastic! #happycustomer,"['received', 'order', 'look', 'fantastic', 'happycustomer']",['order'],"{'sentiment': 'Positive', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.6351}}",False,True,0.0,0.5
"Can't believe how good this is! @brandname, you nailed it! 👏😍",['brandname'],[],10,2,"['believe', 'good', 'brandname', 'nailed']","Cannot believe how good this is! @brandname, you nailed it! 👏😍","['believe', 'good', 'brandname', 'nailed']",['good brandname'],"{'sentiment': 'Negative', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.214, 'neu': 0.786, 'pos': 0.0, 'compound': -0.457}}",False,False,0.2,0.1
This outfit is so stunning! Perfect for the summer vibes! 🌞🌼 #fashion,[],['fashion'],11,2,"['outfit', 'stunning', 'Perfect', 'summer', 'vibes', 'fashion']",This outfit is so stunning! Perfect for the summer vibes! 🌞🌼 #fashion,"['outfit', 'stunning', 'Perfect', 'summer', 'vibe', 'fashion']","['outfit stunning Perfect summer', 'fashion']","{'sentiment': 'Positive', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.8372}}",False,False,0.5,0.0
Love the aesthetics of this post! ✨✨ #photography #inspiration,[],"['photography', 'inspiration']",8,2,"['Love', 'aesthetics', 'post', 'photography', 'inspiration']",Love the aesthetics of this post! ✨✨ #photography #inspiration,"['Love', 'aesthetic', 'post', 'photography', 'inspiration']","['Love aesthetics', 'photography inspiration']","{'sentiment': 'Positive', 'primary_emotion': 'pos', 'sentiment_scores': {'neg': 0.0, 'neu': 0.324, 'pos': 0.676, 'compound': 0.9098}}",False,False,0.0,0.0
So delicious! 😋 Just tried your recipe and it was a hit! #foodie,[],['foodie'],12,1,"['delicious', 'tried', 'recipe', 'hit', 'foodie']",So delicious! 😋 Just tried your recipe and it was a hit! #foodie,"['delicious', 'tried', 'recipe', 'hit', 'foodie']","['delicious tried recipe', 'foodie']","{'sentiment': 'Positive', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.6785}}",False,False,0.5,0.0
Where did you get those shoes? I need them in my life! 👟❤️,[],[],12,2,"['get', 'shoes', 'need', 'life']",Where did you get those shoes? I need them in my life! 👟❤️,"['get', 'shoe', 'need', 'life']","['shoes', 'life']","{'sentiment': 'Neutral', 'primary_emotion': 'neu', 'sentiment_scores': {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}}",True,True,1.0,1.0
